種類,rare,medium,well-done,,
カルビ(牛),240,260,280,./images/calvi.png,
牛サガリ(牛),100,130,180,./images/sagari.png,
ホルモン(牛),270,300,330,./images/hormone.png,
牛タン,60,70,80,./images/tan.png,
若鳥(鶏),300,360,420,./images/toriniku.png,
鶏せせり(鶏),240,300,360,./images/tori_seseri.png,
豚バラ(豚),100,120,140,./images/butabara.png,
豚ハラミ(豚),100,130,180,./images/buta_harami.png,
ロース(豚),300,360,420,./images/buta_ro-su.png,
ベーコン,180,200,220,./images/bacon.png,./images/yakibacon.png
牛レバー,140,160,180,./images/liver.png,
豚トロ,90,110,130,./images/tontoro.png,
ラム,100,120,140,./images/ramb.png,
ソーセージ,220,240,280,./images/souseiji.png,./images/yakisouseiji.png
鬼アツガリバタ上ロース,720,780,840,./images/katamari.png,./images/yakikatamari.png
牛ステーキ,400,460,520,./images/steak.png,
キャベツ,40,40,40,./images/cabbage.png,
トウモロコシ,180,200,220,./images/corn.png,./images/yakitomorokoshi.png
茄子,150,170,190,./images/nasu.png,./images/yakinasu.png
玉ねぎ,400,420,440,./images/tamanegi.png,./images/yakitamanegi.png
ピーマン,60,60,60,./images/piman.png,./images/yakipiman.png
かぼちゃ,150,200,220,./images/kabocha.png,./images/halloween_pumpkin.png
さつまいも,150,170,190,./images/satsumaimo.png,./images/yakiimo.png
イカ,180,220,240,./images/ika.png,./images/yakiika.png
エビ,180,200,220,./images/ebi.png,./images/yakiebi.png
ししゃも,300,300,300,,./images/yakishisyamo.png
カニ,300,300,300,./images/kani.png,
じゃがバター,330,360,390,./images/potato.png,./images/jagabata.png
